OBJECTID,OSP_ID,FACILITY_NAME,STREET_ADDRESS,LOCATION,CAPACITY,MAIN_ENTRANCE_LONG,MAIN_ENTRANCE_LAT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
2903,944,Polk Bush Garage,1399 Bush Street,Bush between Polk & Larkin,129,-122.4201006,37.78851674,POINT (-122.42009 37.788513),50,50,4,3,21
2911,925,7th & Harrison Lot,415 7th Street,7th St between Harrison & Bryant,193,-122.4056362,37.77534225,POINT (-122.405624 37.775337),32,32,1,10,34
2888,922,West Portal Lot,174 West Portal Avenue,West Portal between Vicente & 14th Ave,19,-122.4680364,37.73918993,POINT (-122.468025 37.739185),46,46,10,8,41
2649,904,9th and Clement Lot,330 09th Avenue,9th Ave between Clement & Geary,21,-122.4675036,37.78215118,POINT (-122.46749 37.782146),5,5,8,4,11
2907,949,Sutter Stockton Garage,444 Stockton Street,Bush between Stockton & Grant,1865,-122.4068556,37.78978292,POINT (-122.406845 37.78978),19,19,6,3,8
2896,935,Japan Center Garage,1610 Geary Blvd,Geary between Laguna & Webster,747,-122.4301614,37.78492201,POINT (-122.430145 37.784916),101,101,4,11,15
2897,936,Japan Center Annex Garage,1680 Fillmore St,Fillmore between Geary & Post,176,-122.4328662,37.78495474,POINT (-122.43285 37.78495),101,101,4,11,15
2893,932,Ellis OFarrell Garage,123 O'Farrell Street,O'Farrell between Powell & Stockton,530,-122.4071541,37.78639255,POINT (-122.40714 37.78639),19,19,6,3,8
2885,918,24th and Noe Lot,4061 24th Street,24th St between Noe & Castro,17,-122.4331622,37.75115308,POINT (-122.43315 37.75115),84,84,3,5,22
2645,891,Pier 52 Lot,601 Terry A Francois Blvd,Terry Francois @ Pier 52,54,-122.3859909,37.77018217,POINT (-122.38598 37.770176),34,34,1,10,4
2646,901,24th and Capp Lot,3255 24th Street,Lilac @ 24th St,20,-122.4175067,37.75208935,POINT (-122.417496 37.752083),53,53,3,2,20
2894,933,Fifth and Mission Garage,833 Mission Street,Mission between 5th and 4th Streets,2585,-122.4055376,37.78327767,POINT (-122.405525 37.78327),32,32,1,10,34
2904,945,Portsmouth Square Garage,733 Kearny Street,Kearny between Clay & Washington,504,-122.4050387,37.79486555,POINT (-122.40503 37.79486),104,104,6,3,6
2651,906,18th and Collingwood Lot,4116 18th Street,18th between Castro & Collingwood,28,-122.4358415,37.76111138,POINT (-122.43583 37.761105),38,38,3,5,5
2889,923,Claremont and Ulloa Lot,807 Ulloa,Ulloa between Claremont & West Portal,23,-122.4651654,37.74043876,POINT (-122.46515 37.740433),46,46,10,8,41
2883,915,19th and Ocean Lot,3000 19th Avenue,Ocean between Lagunitas & 19th Ave,20,-122.4746489,37.73239756,POINT (-122.47463 37.73239),62,62,10,8,41
2653,908,21st and Geary Lot,5732 Geary Blvd,Geary between 21st Ave & 22nd Ave,21,-122.4808482,37.78054149,POINT (-122.480835 37.780537),8,8,8,4,29
2654,909,18th and Geary Lot,421 18th Avenue,18th Ave between Geary & Anza,34,-122.4774621,37.77991856,POINT (-122.47745 37.779915),5,5,8,4,29
2895,934,Golden Gateway Garage,250 Clay Street,Clay between Front & Davis,1053,-122.3986032,37.79544154,POINT (-122.39859 37.795437),108,108,6,3,8
